at,response_time,name_lookup_time,connection_time,tls_handshake_time,data_transfer_time,region,data_particao
2025-12-18T09:08:03.000Z,0.30467,3e-05,0.00259,0.04885,0.25321,au,2025-11-17
2025-12-18T09:28:08.000Z,0.27795,4e-05,0.00081,0.02533,0.25177,au,2025-11-17
2025-12-18T09:48:05.000Z,0.31434,2e-05,0.00116,0.05129,0.26186,au,2025-11-17
2025-12-18T10:08:04.000Z,0.36244,3e-05,0.00078,0.09315,0.26848,au,2025-11-17
2025-12-18T10:28:05.000Z,0.36882,2e-05,0.00232,0.10181,0.26466,au,2025-11-17
2025-12-18T10:48:03.000Z,0.30341,3e-05,0.00181,0.02459,0.27698,au,2025-11-17
2025-12-18T11:08:05.000Z,0.28862,3e-05,0.00174,0.03577,0.25108,au,2025-11-17
2025-12-18T11:28:04.000Z,0.26778,3e-05,0.00116,0.01764,0.24896,au,2025-11-17
2025-12-18T11:48:04.000Z,0.26724,2e-05,0.00115,0.02012,0.24596,au,2025-11-17
2025-12-18T12:08:04.000Z,0.28275,3e-05,0.00118,0.03281,0.24873,au,2025-11-17
2025-12-18T12:28:06.000Z,0.41152,2e-05,0.00496,0.15634,0.25021,au,2025-11-17
2025-12-18T12:48:04.000Z,0.31513,0.00014,0.00831,0.05555,0.25113,au,2025-11-17
2025-12-18T13:08:04.000Z,0.33037,4e-05,0.00219,0.05191,0.27624,au,2025-11-17
2025-12-18T13:28:09.000Z,0.36665,4e-05,0.00094,0.02331,0.34236,au,2025-11-17
2025-12-18T13:48:06.000Z,0.33028,2e-05,0.00221,0.05753,0.27052,au,2025-11-17
2025-12-18T14:08:04.000Z,0.2957,0.00754,0.01151,0.03048,0.24617,au,2025-11-17
2025-12-18T14:28:04.000Z,0.35847,3e-05,0.00119,0.0381,0.31915,au,2025-11-17
2025-12-18T14:48:06.000Z,0.6012,2e-05,0.00111,0.02786,0.5722,au,2025-11-17
2025-12-18T15:08:06.000Z,0.30945,2e-05,0.00274,0.04817,0.25851,au,2025-11-17
2025-12-18T15:28:04.000Z,0.27677,4e-05,0.00112,0.02054,0.25507,au,2025-11-17
2025-12-18T15:48:05.000Z,0.2702,4e-05,0.0008,0.01832,0.25104,au,2025-11-17
2025-12-18T16:08:07.000Z,0.31249,0.00173,0.00196,0.05074,0.25805,au,2025-11-17
2025-12-18T16:28:06.000Z,0.3613,2e-05,0.00313,0.07601,0.28215,au,2025-11-17
2025-12-18T16:48:04.000Z,0.29028,5e-05,0.00108,0.03254,0.2566,au,2025-11-17
2025-12-18T17:08:05.000Z,0.28024,3e-05,0.0008,0.02386,0.25556,au,2025-11-17
2025-12-18T17:28:08.000Z,0.51126,0.04958,0.02515,0.18219,0.25434,au,2025-11-17
2025-12-18T17:48:06.000Z,0.39221,2e-05,0.00109,0.01941,0.37169,au,2025-11-17
2025-12-18T18:08:04.000Z,0.27642,5e-05,0.00078,0.01732,0.25826,au,2025-11-17
2025-12-18T18:28:05.000Z,0.43448,4e-05,0.00094,0.19052,0.24297,au,2025-11-17
2025-12-18T18:48:04.000Z,0.27194,4e-05,0.00226,0.01996,0.24969,au,2025-11-17
2025-12-18T19:08:05.000Z,0.28588,2e-05,0.00168,0.02397,0.26022,au,2025-11-17
2025-12-18T19:28:04.000Z,0.30151,3e-05,0.03795,0.02159,0.24195,au,2025-11-17
2025-12-18T19:48:05.000Z,0.28103,2e-05,0.00075,0.0172,0.26306,au,2025-11-17
2025-12-18T20:08:04.000Z,0.3654,3e-05,0.00124,0.11601,0.24813,au,2025-11-17
2025-12-18T20:28:04.000Z,0.33997,2e-05,0.00157,0.08658,0.2518,au,2025-11-17
2025-12-18T20:48:04.000Z,0.31106,3e-05,0.00169,0.05195,0.2574,au,2025-11-17
2025-12-18T21:08:05.000Z,0.28072,3e-05,0.0012,0.02053,0.25896,au,2025-11-17
2025-12-18T21:28:05.000Z,0.29497,2e-05,0.00626,0.03446,0.25422,au,2025-11-17
2025-12-18T21:48:05.000Z,0.2688,3e-05,0.00082,0.02072,0.24724,au,2025-11-17
2025-12-18T22:08:04.000Z,0.31499,3e-05,0.00082,0.04269,0.27146,au,2025-11-17
2025-12-18T22:28:06.000Z,0.29321,3e-05,0.00166,0.03141,0.26011,au,2025-11-17
2025-12-18T22:48:02.000Z,0.28726,3e-05,0.00141,0.02266,0.26316,au,2025-11-17
2025-12-18T23:08:05.000Z,0.27129,2e-05,0.00135,0.01549,0.25444,au,2025-11-17
2025-12-18T23:28:04.000Z,0.27865,3e-05,0.00123,0.01772,0.25967,au,2025-11-17
2025-12-18T23:48:06.000Z,0.28086,2e-05,0.00105,0.03363,0.24616,au,2025-11-17
2025-12-19T00:08:06.000Z,0.2743,3e-05,0.00149,0.01897,0.25382,au,2025-11-17
2025-12-19T00:28:05.000Z,0.35783,2e-05,0.00115,0.01772,0.33894,au,2025-11-17
2025-12-19T00:48:04.000Z,0.28225,3e-05,0.0008,0.01881,0.26262,au,2025-11-17
2025-12-19T01:08:00.000Z,0.32499,3e-05,0.00141,0.05726,0.2663,au,2025-11-17
2025-12-19T01:28:07.000Z,0.29596,3e-05,0.00155,0.03252,0.26186,au,2025-11-17
2025-12-19T01:48:05.000Z,0.3611,3e-05,0.00131,0.10579,0.25397,au,2025-11-17
